Company,Product,Size,Currency,Prices,Price_Category
Al Rabie,Apple Juice,200 Ml,SAR,1.6,Low Price
Al Rabie,Mango Nectar,200 Ml,SAR,1.6,Low Price
KDD,Guava Nectar,180 Ml,SAR,2.1,Low Price
Al Rabie,I'm Zein Chocolate Flavored Milk,200 Ml,SAR,1.25,Low Price
Bugles,Crispy Corn Snacks Smokin' BBQ,15 x 18G,SAR,12.95,Medium Price
Bugles,Crispy Corn Snacks Ketchup,15 x 18G,SAR,12.95,Medium Price
Saudia,Long Life Skimmed Milk,200 Ml,SAR,1.6,Low Price
Galaxy,Chocolate Crispy,36G,SAR,3.1,Low Price
Moussy,Malt Beverage Apple Flavor,330 Ml,SAR,5.0,Medium Price
Vimto,Fruit Flavored Sparkling Drink,250 Ml,SAR,1.75,Low Price
Bahlsen,Pick Up With Chocolate,28G,SAR,2.25,Low Price
Barbican,Malt Beverage Peach Flavor,330 Ml,SAR,5.0,Medium Price
Caesar,Pineapple Juice,250 Ml,SAR,3.0,Low Price
Canada Dry,Club Soda,12 Z,SAR,10.0,Medium Price
Nadec,Long life Skimmed Milk,12 x 1L,SAR,34.5,High Price
Nada,Long Life Full Fat Milk,12 x 1L,SAR,34.95,High Price
Nada,Long Life Low Fat Milk,12 x 1L,SAR,34.95,High Price
Atlas,Atlas Chickpeas,580G,SAR,5.0,Medium Price
Rauch,White Grape Juice,900 Ml,SAR,22.45,High Price
Puck,Plain Cream Replaced Milk Fat With Vegetable Oil,170G,SAR,3.25,Low Price
Saudia,Tomato Paste,135G,SAR,1.6,Low Price
Rauch,Red Grape Juice,900Ml,SAR,22.45,High Price
Fanta,Strawberry Soda,250 Ml,SAR,2.5,Low Price
Mirinda,Strawberry Can,355 Ml,SAR,2.5,Low Price
Mirinda,Green Apple Can,355 Ml,SAR,2.5,Low Price
KDD,Pineapple Juice,1L,SAR,7.95,Medium Price
Foster Clark's,Vanilla Essence,28 Ml,SAR,2.9,Low Price
Shani,Can,355 Ml,SAR,2.5,Low Price
Foster Clark's,Raspberry Jelly Dessert,85G,SAR,2.1,Low Price
Foster Clark's,Muhallabiah,85G,SAR,2.55,Low Price
Foster Clark's,Banana & Strawberry Jelly Dessert,85G,SAR,2.1,Low Price
Foster Clark's,Lime Jelly Dessert,85G,SAR,2.1,Low Price
Foster Clark's,Creme Caramel,71G,SAR,2.55,Low Price
Suntop,Orange Drink,125 Ml,SAR,1.0,Low Price
Riyadh Food,Vanilla Powder,20G,SAR,1.35,Low Price
Pringles,Salt & Vineger,165G,SAR,10.95,Medium Price
Galaxy,Flutes Chocolate Wafer 2 Fingers,22.5G,SAR,1.05,Low Price
Ferrero Rocher,Rocher Chocolate The Golden Experience,37.5G,SAR,5.25,Medium Price
Halls,Cherry Flavor,25.2G,SAR,1.05,Low Price
Red Bull,Energy Drink,250 Ml,SAR,9.95,Medium Price
Nada,Tomato Paste,8 x 135G,SAR,6.5,Medium Price
Bugles,Crispy Corn Snacks Nacho cheese,15 x 18G,SAR,12.95,Medium Price
Cadbury,Dairy Milk Flowrap,90G,SAR,6.95,Medium Price
Loacker,Cremkakao Wafer,45G,SAR,3.15,Low Price
Cadbury,Fruit and Nut,100G,SAR,6.5,Medium Price
Nada,Junior Strawberry Long Life Milk,18 x 125 Ml,SAR,10.95,Medium Price
Nada,Junior Full cream Long Life Milk,18 x 125 Ml,SAR,10.95,Medium Price
Barbican,Malt Beverage Strawberry Flavor,330 Ml,SAR,5.0,Medium Price
Freshly,Whole Kernel Corn,4 x 340G,SAR,11.5,Medium Price
Quavers,Potato Snack Cheese Flavor Light,20G,SAR,1.05,Low Price
Aloha,Light Meat Tuna In Vegetable Oil,185G,SAR,5.95,Medium Price
Mentos,Pure Fresh Wintergreen Sugar Free Chewing Gum,56G,SAR,11.45,Medium Price
Nature Valley,Crunchy Oats & Roasted Almonds Bars,42G,SAR,2.5,Low Price
Lipton,Red Fruits Ice Tea,320 Ml,SAR,3.0,Low Price
Luna,Full Cream Evaporated Milk,170G,SAR,2.2,Low Price
Americana,Butter Cookies,44G,SAR,1.3,Low Price
7 days,Swiss Roll Vanilla,12 x 20G,SAR,6.5,Medium Price
Holsten,Malt Beverage Cranberry Flavor,330 Ml,SAR,5.75,Medium Price
Mentos,Pure Fresh Freshmint Sugar Free Chewing Gum,56G,SAR,10.45,Medium Price
Barbican,Malt Beverage Pomegranate Flavor,330 Ml,SAR,5.0,Medium Price
Capri-Sun,Strawberry Drink,10 × 200 Ml,SAR,12.15,Medium Price
KDD,Cherry Drink,180 Ml,SAR,2.1,Low Price
Capri-Sun,Mixed Fruit Drink,10 x 200 Ml,SAR,12.15,Medium Price
Capri-Sun,Orange Drink,10 × 200 Ml,SAR,12.15,Medium Price
Nova,Chewing Gum Fruit Sugar Free,5 x 2.5G,SAR,0.55,Low Price
7 UP,Glass Bottle,250 Ml,SAR,2.5,Low Price
Ritz,Original Salted Biscuits,41G,SAR,1.05,Low Price
Galaxy,Ripple Milk Chocolate,25G,SAR,2.35,Low Price
Tropicana,Frutz Blackcurrant Cocktail Sparkling Drink,6 x  300 Ml,SAR,14.95,Medium Price
Junior,Mini Chocolate Croissant,32 grams,SAR,1.45,Low Price
Tropicana,Frutz Pomegranate Cocktail Sparkling Drink,6 x 300 Ml,SAR,14.95,Medium Price
Kras,Nougat Wafer,38G,SAR,1.3,Low Price
Aquafina,Drinking Water,1.5L,SAR,1.5,Low Price
Nestlé,Aero Milk Chocolate Bar,30G,SAR,2.05,Low Price
Kinder,Maxi With Milk Chocolate,21G,SAR,1.05,Low Price
Holsten,Malt Beverage Pomegranate Flavor,330 Ml,SAR,5.75,Medium Price
Dr. Pepper,Regular,12Z,SAR,10.0,Medium Price
Pringles,Cheesy Cheese,165G,SAR,10.95,Medium Price
Red Bull,Sugar free Energy Drink,250 Ml,SAR,9.95,Medium Price
Pringles,Barbeque,165G,SAR,10.95,Medium Price
Al Rabie,Berry Mix Premium Drink,200 Ml,SAR,1.5,Low Price
Moussy,Malt Beverage Pomegranate Flavor,330 Ml,SAR,4.95,Low Price
Pringles,Hot & Spicy,165G,SAR,10.95,Medium Price
Cadbury,Dairy Milk Hazelnut,87G,SAR,6.95,Medium Price
Almarai,Low Fat Evaporated Milk,170G,SAR,2.4,Low Price
Barbican,Malt Beverage,330 Ml,SAR,5.0,Medium Price
Tiffany,Break Delights Chocolate Wafers,12 x 25G,SAR,9.5,Medium Price
7 days,Strawberry Cake Bar,25G,SAR,0.8,Low Price
Kinder,Bueno White Chocolate,39 GRAMS,SAR,2.75,Low Price
Bonny,Low Fat Evaporated Milk,170G,SAR,3.15,Low Price
Tannourine,Natural Spring Water,0.5L,SAR,2.1,Low Price
Nadec,Long Life Vanilla Flavored Milk,200 Ml,SAR,1.65,Low Price
Nadec,Long Life Strawberry Flavored Milk,200 Ml,SAR,1.65,Low Price
Nadec,Long Life Chocolate Milk,200 Ml,SAR,1.65,Low Price
M&M,Mini Chocolate Tube,30.6G,SAR,3.5,Low Price
Holsten,Malt Beverage Strawberry Flavor,330 Ml,SAR,5.75,Medium Price
Cadbury,Dairy Milk Chocolate Bubbly,87G,SAR,6.95,Medium Price
Loacker,Crispy Wafers Filled With Vanilla Creme,45G,SAR,3.15,Low Price
Almarai,Long Life Fat Free Milk,12 × 1L,SAR,40.0,High Price
Almarai,Double Chocolate Long Life Milk,200 Ml,SAR,1.6,Low Price
Bahlsen,Pick Up With Chocolate And Caramel,28G,SAR,2.25,Low Price
Bazooka,Juicy Drop Pop Or  Pop Cola Candy,26G,SAR,8.25,Medium Price
Nada,Danyah Long Life Strawberry Milk,18 x 200 Ml,SAR,17.95,Medium Price
Bazooka,Big Baby Pop Candy Blueberry,32 G,SAR,5.45,Medium Price
M&M,Peanut Chocolate,45G,SAR,3.25,Low Price
Al Rabie,Berry Mix Fortified Drink,120 Ml,SAR,1.6,Low Price
Nada,Azzoz Long Life Strawberry Milk Full Cream,18 × 200 Ml,SAR,17.95,Medium Price
Nada,Danya Long Life Banana Milk,18 × 200 Ml,SAR,17.95,Medium Price
Mentos,Mixed Fruits Sugar Free Bubble Gum,64G,SAR,10.45,Medium Price
Nada,Azzoz Long Life Chocolate Milk,18 x 200 Ml,SAR,17.95,Medium Price
Nada,Danya Long Life Chocolate Milk,18 × 200 Ml,SAR,17.95,Medium Price
Snickers,Twin,40G,SAR,3.75,Low Price
Al Rabie,Multi Fruit Fortified Nectar,120 Ml,SAR,1.6,Low Price
Lipton,Pear & Peach Green Ice Tea,320 Ml,SAR,3.0,Low Price
Galaxy,Smooth Dark Chocolate,40G,SAR,3.1,Low Price
Nature Valley,Crunchy Oats & Chocolate,42G,SAR,2.5,Low Price
Oreo,Double stuff,48G,SAR,1.75,Low Price
Wrigley's,Turblenc 5 Watermelon,12 Pieces,SAR,5.5,Medium Price
Belvita,Bran Biscuit Rish in Fibre,62G,SAR,1.5,Low Price
KitKat,Chunky Milk Chocolate Bar,46G,SAR,2.65,Low Price
Saudia,Golden Taste Milk,1L,SAR,6.05,Medium Price
Belvita,Kleija With Cardamom,62G,SAR,1.5,Low Price
Oreo,Original Crème,38G,SAR,1.0,Low Price
Nature Valley,Crunchy Oats & Berries Bars,42G,SAR,2.5,Low Price
Galaxy,Flutes Chocolate Wafer 4 Fingers,45G,SAR,2.1,Low Price
Holsten,Malt Beverage Black Grape Flavor,330 Ml,SAR,5.5,Medium Price
Fonte,Vanilla CupCake,30G,SAR,0.55,Low Price
Wrigley's,Extra Spearmint Sugar Free Gums,60 Pieces,SAR,7.95,Medium Price
Al Rabie,Orange Drink,125 Ml,SAR,1.05,Low Price
KitKat,Chunky Caramel Chocolate Bar,52.5G,SAR,3.1,Low Price
Rauch,Peach Drink,250 Ml,SAR,5.0,Medium Price
Fanta,Grape Soda,12Z,SAR,8.5,Medium Price
Maggi,Beef Flavor Cubes,20G,SAR,0.8,Low Price
Maggi,Chicken Stocks Cubes Less Salt,20G,SAR,0.8,Low Price
Maggi,Cream of Chicken Soup,71G,SAR,3.75,Low Price
Maggi,Chicken With ABC Pasta Soup,66G,SAR,3.75,Low Price
Maggi,Chicken Noodle Soup,60G,SAR,3.4,Low Price
Maggi,Spring Season Soup,59G,SAR,4.15,Low Price
Nature Valley,Crunchy Oats & Cinnamon Bars,42G,SAR,2.5,Low Price
Tropicana,Frutz Lemon Mint Cocktail Sparkling Drink,6 ×  300 Ml,SAR,14.95,Medium Price
Tiffany,Fiori Caramel,40G,SAR,1.05,Low Price
Cadbury,Dairy Milk Plain,37G,SAR,2.95,Low Price
